<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI109219	40.77	32.17	8.41	17.03	-1.03	647.0	88.0	22.0	38.83	224.0	77.0	108.0	224.0	11.29	36.31	739.47	25.4	-5.7	31.1	-1.03	16.92
PI172688	40.14	43.12	7.95	19.8	-5.07	389.0	67.0	17.0	43.34	160.0	65.0	98.0	71.0	12.68	30.84	1014.61	29.3	-11.8	41.1	12.65	19.65
PI172689	39.94	44.08	11.5	22.92	-0.97	266.0	47.0	10.0	47.74	113.0	33.0	55.0	53.0	11.93	30.76	966.0	31.2	-7.6	38.8	16.28	22.53
PI173630	38.97	41.54	9.53	22.13	-3.82	675.0	100.0	7.0	58.89	268.0	27.0	27.0	225.0	12.44	29.62	1059.59	32.5	-9.5	42.0	1.7	22.13
PI204384	38.66	39.17	13.58	25.58	1.22	591.0	84.0	2.0	63.66	226.0	13.0	24.0	217.0	11.23	29.18	995.35	34.8	-3.7	38.5	6.78	25.58
PI204385	39.91	41.28	5.2	17.22	-7.63	475.0	75.0	18.0	41.99	186.0	65.0	90.0	92.0	12.01	29.87	1018.14	26.7	-13.5	40.2	9.68	17.17
PI204386	39.92	41.3	4.81	16.7	-7.93	486.0	75.0	18.0	42.21	190.0	65.0	65.0	95.0	11.91	29.77	1010.6	26.2	-13.8	40.0	9.22	16.7
PI204550	40.45	39.48	8.55	18.27	-1.93	507.0	75.0	14.0	42.75	194.0	52.0	84.0	123.0	11.36	33.11	829.79	26.9	-7.4	34.3	12.27	18.27
PI204854	40.97	35.67	10.47	18.93	1.48	502.0	58.0	17.0	31.15	161.0	67.0	87.0	143.0	10.15	34.88	713.58	26.2	-2.9	29.1	13.82	18.72
PI206259	39.69	34.64	11.34	20.75	1.33	425.0	50.0	10.0	39.75	140.0	41.0	60.0	140.0	12.8	37.32	786.87	29.6	-4.7	34.3	1.33	20.5
PI206618	40.78	43.45	6.24	17.68	-6.83	429.0	79.0	16.0	54.52	194.0	55.0	144.0	55.0	12.8	31.3	1001.84	27.3	-13.6	40.9	11.0	-6.83
PI206625	40.68	43.17	4.85	16.02	-7.97	454.0	80.0	18.0	50.7	196.0	61.0	114.0	61.0	13.0	31.94	979.96	25.8	-14.9	40.7	13.37	-7.97
PI208062	40.5	42.75	4.97	16.03	-7.68	466.0	78.0	20.0	45.87	194.0	67.0	107.0	67.0	13.58	33.05	969.84	26.3	-14.8	41.1	9.5	-7.68
PI210990	36.63	69.76	14.95	26.73	3.0	522.0	114.0	1.0	93.37	304.0	5.0	9.0	175.0	13.29	33.65	950.65	36.0	-3.5	39.5	9.18	25.47
PI210992	34.18	61.7	13.57	24.63	2.32	248.0	50.0	0.0	97.87	147.0	0.0	1.0	132.0	14.82	38.11	896.66	33.7	-5.2	38.9	3.8	23.23
PI212240	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI220497	35.92	64.78	14.12	26.4	2.03	345.0	79.0	0.0	93.59	195.0	1.0	2.0	152.0	14.31	34.9	981.77	36.2	-4.8	41.0	8.02	24.53
