Accession,Longitude,Latitude
PI109219,32.17,40.77
PI172688,43.12,40.14
PI172689,44.08,39.94
PI173630,41.54,38.97
PI204384,39.17,38.66
PI204385,41.28,39.91
PI204386,41.3,39.92
PI204550,39.48,40.45
PI204854,35.67,40.97
PI206259,34.64,39.69
PI206618,43.45,40.78
PI206625,43.17,40.68
PI208062,42.75,40.5
PI210990,69.76,36.63
PI210992,61.7,34.18
PI212240,NaN,NaN
PI220497,64.78,35.92
PI220498,62.19,34.95
PI222961,51.27,35.73
PI223230,66.85,35.85
PI223668,47.18,38.37
PI228274,51.29,31.95
PI228386,47.03,35.25
PI229475,47.93,38.08
PI229576,50.75,32.02
PI229577,50.75,32.02
PI229916,52.11,35.95
PI229917,52.11,35.95
PI229918,51.42,35.7
PI229919,52.11,35.95
PI229921,52.11,35.95
PI229928,52.53,35.72
PI240129,46.29,38.08
PI249145,NaN,NaN
PI249146,NaN,NaN
PI253430,13.73,45.55
PI255150,NaN,NaN
PI273732,39.42,57.19
PI273733,36.19,51.73
PI273737,NaN,NaN
PI286118,NaN,NaN
PI297872,NaN,NaN
PI297876,NaN,NaN
PI314054,41.05,47.6
PI314140,NaN,NaN
PI314189,70.26,41.78
PI314190,70.26,41.78
PI314191,70.26,41.78
PI314192,70.52,41.34
PI314193,71.52,42.34
PI314610,NaN,NaN
PI315065,NaN,NaN
PI315067,NaN,NaN
PI315353,NaN,NaN
PI315354,NaN,NaN
PI315355,43.52,44.67
PI316122,NaN,NaN
PI317404,62.33,35.21
PI317406,63.25,34.62
PI318923,NaN,NaN
PI325183,43.52,44.67
PI325190,42.79,43.86
PI325191,42.79,43.86
PI326209,87.44,50.27
PI340064,NaN,NaN
PI343186,NaN,NaN
PI345586,38.44,47.83
PI369174,83.34,54.4
PI380630,45.67,38.47
PI380631,46.3,37.97
PI380632,47.07,38.48
PI380633,47.07,38.48
PI380634,47.87,38.33
PI380636,48.18,34.18
PI380637,48.88,33.54
PI380638,NaN,NaN
PI380639,49.33,34.33
PI380640,45.18,38.67
PI380641,46.59,38
PI380642,53.57,35.73
PI380654,59.15,35.31
PI383546,35.4,38.03
PI383547,34.68,37.97
PI383548,34.51,37.56
PI383550,32.75,39.81
PI383551,39.67,38.39
PI383552,39.33,38.87
PI383553,43.33,41.14
PI383554,40.69,39.92
PI383555,40.42,40.88
PI383556,41.28,39.91
PI383557,41.28,39.91
PI383558,42.7,41.24
PI383561,43.1,40.61
PI383562,44.05,39.92
PI383563,44.05,39.92
PI383564,43.1,40.61
PI383565,43.41,40.61
PI383568,44.05,39.92
PI383569,43.1,40.62
PI383570,30.83,38.09
PI383571,32.84,39.68
PI383573,34.93,38.7
PI383574,39.94,39.51
PI383575,40.72,40.1
PI383576,43.41,40.62
PI383577,44.04,39.63
PI383578,44.04,39.63
PI401014,31.88,41.45
PI401015,35.09,41.75
PI401016,41.72,41.02
PI401017,43.1,40.61
PI401018,43.1,40.61
PI401019,32.79,39.94
PI401020,30.51,39.78
