PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
Amur,NA,NA,Agronomic/Forage,NA,NA,NA,Amur,91.4505789,-0.808580802,-14.98453145,10.12706332,12.13261495,2,3,4,3,8.616478954,1.406736363,69.78472374,62.80094443,17.47034514,102.840674,5.800489735,10.11299343,7.994485977,6.946487032,0.844660192,1.64246349,67.79048214,72.47179612,60.3343246,64.41415989,16.67006553,26.37542105,12.52081206,97.55635408,122.6658522,102.5493959,6.015620273,6.103551069,5.107320921,24.98957794,15.38967761,8.24331981,35.40717392
Greenar,NA,NA,Agronomic/Forage,NA,NA,NA,Greenar,79.63956603,-5.531518743,57.6008823,39.63064463,-5.41877844,2,3,4,3,8.744739581,1.600607482,69.01081442,62.83332984,16.06359128,103.1564716,5.729954915,7.780864183,8.220042462,8.141987994,1.143626401,3.221442034,66.11286961,70.32760911,61.75183868,64.32973076,7.795783783,22.87348577,6.289859892,97.55635408,122.6658522,107.6046158,4.242694167,5.482731058,4.582747464,1.492400276,13.95481998,4.961326685,38.43449283
Manska,NA,NA,Agronomic,NA,NA,NA,Manska,91.66202959,-5.514602186,21.53179784,17.64655242,10.22653992,2,3,4,3,NA,NA,NA,NA,16.1617458,104.1038644,5.782056717,8.974327047,NA,NA,NA,NA,NA,NA,NA,NA,5.375525126,26.80642847,6.289859892,110.1707971,127.7893925,105.0770059,4.765935969,6.481216576,5.294291427,19.02845853,10.07969393,5.887829519,29.85708925
Nebraska50,NA,NA,Agronomic/Forage,NA,NA,NA,Nebraka 50,88.65682709,-10.47477386,59.15404525,39.23100228,10.16194494,2,3,4,3,9.176474016,1.411706378,69.88298655,62.73197485,16.02825566,102.840674,5.785538174,10.65483907,10.77190608,9.811424608,0.687390889,1.862289966,68.33560183,72.41599537,58.64020806,63.47807624,6.383966233,23.84325246,6.340458017,115.2165742,112.4187715,94.96656616,5.395858139,6.051816068,5.232418039,33.69281229,19.65383195,1.684153805,36.41628022
Oahe,NA,NA,Agronomic/Forage,NA,NA,NA,Oahe,86.06424757,-10.62162209,52.11503121,35.93208065,15.03031423,2,3,4,3,9.168567394,1.601862806,69.50649632,62.73592927,NA,NA,NA,NA,10.28020455,9.24533117,1.222425659,2.95514914,69.0064863,69.9365393,58.68052091,64.30637315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI109219,40.76972222,32.17277778,Agronomic,Turkey,40 46 11N,32 10 22E,NA,-17.62897398,-17.68755186,8.397350659,-3.987802649,-29.92580771,1,1,1,4,NA,NA,NA,NA,19.27913318,99.36690043,5.820832944,8.353863193,NA,NA,NA,NA,NA,NA,NA,NA,19.59454474,30.95487488,28.30004398,77.37324532,109.8570013,79.80090659,5.243457614,6.222541571,6.732847702,3.467345057,22.2305129,1.366495691,35.40717392
PI172688,40.14138889,43.11777778,Agronomic/Forage,Turkey,40 08 29N,43 07 04E,NA,42.8790226,-8.869110322,-4.046008227,3.596935032,-32.10654397,2,3,1,4,8.993389712,1.52332491,69.29577082,62.78433536,15.89083934,102.9985728,5.774613603,8.909330144,10.04872571,8.631932028,0.972279501,2.648746027,68.95948284,68.9154941,59.60529095,64.45918876,10.16562039,18.67116343,5.632084276,105.1250199,112.4187715,107.6046158,5.187577421,6.103551069,4.923051099,11.9684197,16.15762957,5.924889632,29.85708925
PI172689,39.9375,44.08083333,Agronomic/Forage,Turkey,39 56 15N,44 04 51E,NA,-1.766467966,-18.35356621,19.28592893,-3.201326441,-43.05452463,1,1,1,4,8.76551419,1.481064656,69.66086179,62.84059708,18.69020609,101.261686,5.811949226,7.821914858,7.940691374,8.75055664,1.081995406,2.11438898,66.90879788,72.73430287,61.85324278,64.49331442,17.42639636,34.99556944,19.09118535,100.0792427,104.733461,92.43895623,5.888619836,6.641595079,5.27882308,9.51658537,9.806868893,1.620622182,48.02100271
PI173630,38.97166667,41.54055556,Agronomic/Forage,Turkey,38 58 18N,41 32 26E,NA,42.40828456,5.099994151,-14.3873983,4.981298618,-30.2043396,2,3,4,3,8.964561179,1.52065031,69.84409624,62.78959414,17.57124463,102.840674,5.817351487,8.731443884,9.962130686,8.410378523,0.992102298,2.600922617,70.9007513,69.69124085,60.18278579,64.15290749,5.87974568,28.79983778,22.07647469,102.6021313,122.6658522,97.49417608,5.654939031,6.770932581,5.619126715,8.365830144,18.21897433,5.241924686,35.40717392
PI204384,38.66055556,39.16777778,Agronomic/Forage,Turkey,38 39 38N,39 10 04E,NA,26.66901924,-12.31766522,13.11672639,4.875396496,-36.40910106,1,1,1,4,9.350821586,1.470537243,70.36306194,62.77114295,15.96936295,102.6827752,5.761888278,7.841584973,11.82946988,10.4500715,0.799276573,2.318423516,70.94889313,72.19272187,59.3634424,64.21089278,5.678057458,23.62774875,6.49225239,105.1250199,120.104082,94.96656616,4.765935969,6.517431077,4.391971184,10.12306448,8.377063585,2.743014186,40.95725859
