"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"Amur",NA,NA,"Amur",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenar",NA,NA,"Greenar",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manska",NA,NA,"Manska",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska50",NA,NA,"Nebraka 50",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oahe",NA,NA,"Oahe",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI109219",40.76972222,32.17277778,NA,6,8.41250038146973,17.033332824707,-1.03333330154419,647,88,22,38.8261489868164,224,77,108,224,11.2916660308838,36.3076095581055,739.468872070312,25.3999996185303,-5.69999980926514,31.0999984741211,-1.03333330154419,16.9166660308838
"PI172688",40.14138889,43.11777778,NA,7,7.95416641235352,19.7999992370605,-5.06666660308838,389,67,17,43.3367652893066,160,65,98,71,12.6750001907349,30.8394165039062,1014.60797119141,29.2999992370605,-11.8000001907349,41.0999984741211,12.6499996185303,19.6499996185303
"PI172689",39.9375,44.08083333,NA,8,11.5,22.9166660308838,-0.966666638851166,266,47,10,47.7429046630859,113,33,55,53,11.9333333969116,30.7560138702393,965.999267578125,31.2000007629395,-7.59999990463257,38.7999992370605,16.283332824707,22.533332824707
"PI173630",38.97166667,41.54055556,NA,9,9.52916622161865,22.1333332061768,-3.81666660308838,675,100,7,58.8873825073242,268,27,27,225,12.4416666030884,29.6230163574219,1059.59350585938,32.5,-9.5,42,1.70000004768372,22.1333332061768
"PI204384",38.66055556,39.16777778,NA,10,13.5833330154419,25.5833339691162,1.21666657924652,591,84,2,63.6596794128418,226,13,24,217,11.2333335876465,29.177490234375,995.349060058594,34.7999992370605,-3.70000004768372,38.5,6.78333330154419,25.5833339691162
"PI204385",39.90861111,41.27666667,NA,11,5.20416688919067,17.216667175293,-7.63333320617676,475,75,18,41.9938507080078,186,65,90,92,12.0083332061768,29.8714752197266,1018.13659667969,26.7000007629395,-13.5,40.2000007629395,9.68333339691162,17.1666679382324
"PI204386",39.91666667,41.3,NA,12,4.8125,16.7000007629395,-7.93333339691162,486,75,18,42.2077751159668,190,65,65,95,11.9083337783813,29.7708320617676,1010.60314941406,26.2000007629395,-13.8000001907349,40,9.21666622161865,16.7000007629395
"PI204550",40.45,39.48333333,NA,13,8.55416679382324,18.2666664123535,-1.93333339691162,507,75,14,42.7489929199219,194,52,84,123,11.3583335876465,33.114673614502,829.793151855469,26.8999996185303,-7.40000009536743,34.2999992370605,12.2666664123535,18.2666664123535
"PI204854",40.96666667,35.66666667,NA,14,10.466667175293,18.9333343505859,1.48333334922791,502,58,17,31.1452026367188,161,67,87,143,10.1500005722046,34.8797264099121,713.577209472656,26.2000007629395,-2.90000009536743,29.1000003814697,13.8166666030884,18.716667175293
"PI206259",39.69333333,34.64472222,NA,15,11.3416662216187,20.75,1.33333325386047,425,50,10,39.7494468688965,140,41,60,140,12.8000001907349,37.3177833557129,786.866149902344,29.6000003814697,-4.69999980926514,34.2999992370605,1.33333325386047,20.5
