<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI109219	40.77	32.17	8.41	17.03	-1.03	647.00	88.00	22.00	38.83	224.00	77.00	108.00	224.00	11.29	36.31	739.47	25.40	-5.70	31.10	-1.03	16.92
PI172688	40.14	43.12	7.95	19.80	-5.07	389.00	67.00	17.00	43.34	160.00	65.00	98.00	71.00	12.68	30.84	1014.61	29.30	-11.80	41.10	12.65	19.65
PI172689	39.94	44.08	11.50	22.92	-0.97	266.00	47.00	10.00	47.74	113.00	33.00	55.00	53.00	11.93	30.76	966.00	31.20	-7.60	38.80	16.28	22.53
PI173630	38.97	41.54	9.53	22.13	-3.82	675.00	100.00	7.00	58.89	268.00	27.00	27.00	225.00	12.44	29.62	1059.59	32.50	-9.50	42.00	1.70	22.13
PI204384	38.66	39.17	13.58	25.58	1.22	591.00	84.00	2.00	63.66	226.00	13.00	24.00	217.00	11.23	29.18	995.35	34.80	-3.70	38.50	6.78	25.58
PI204385	39.91	41.28	5.20	17.22	-7.63	475.00	75.00	18.00	41.99	186.00	65.00	90.00	92.00	12.01	29.87	1018.14	26.70	-13.50	40.20	9.68	17.17
PI204386	39.92	41.30	4.81	16.70	-7.93	486.00	75.00	18.00	42.21	190.00	65.00	65.00	95.00	11.91	29.77	1010.60	26.20	-13.80	40.00	9.22	16.70
PI204550	40.45	39.48	8.55	18.27	-1.93	507.00	75.00	14.00	42.75	194.00	52.00	84.00	123.00	11.36	33.11	829.79	26.90	-7.40	34.30	12.27	18.27
PI204854	40.97	35.67	10.47	18.93	1.48	502.00	58.00	17.00	31.15	161.00	67.00	87.00	143.00	10.15	34.88	713.58	26.20	-2.90	29.10	13.82	18.72
PI206259	39.69	34.64	11.34	20.75	1.33	425.00	50.00	10.00	39.75	140.00	41.00	60.00	140.00	12.80	37.32	786.87	29.60	-4.70	34.30	1.33	20.50
PI206618	40.78	43.45	6.24	17.68	-6.83	429.00	79.00	16.00	54.52	194.00	55.00	144.00	55.00	12.80	31.30	1001.84	27.30	-13.60	40.90	11.00	-6.83
PI206625	40.68	43.17	4.85	16.02	-7.97	454.00	80.00	18.00	50.70	196.00	61.00	114.00	61.00	13.00	31.94	979.96	25.80	-14.90	40.70	13.37	-7.97
PI208062	40.50	42.75	4.97	16.03	-7.68	466.00	78.00	20.00	45.87	194.00	67.00	107.00	67.00	13.58	33.05	969.84	26.30	-14.80	41.10	9.50	-7.68
PI210990	36.63	69.76	14.95	26.73	3.00	522.00	114.00	1.00	93.37	304.00	5.00	9.00	175.00	13.29	33.65	950.65	36.00	-3.50	39.50	9.18	25.47
PI210992	34.18	61.70	13.57	24.63	2.32	248.00	50.00	0.00	97.87	147.00	0.00	1.00	132.00	14.82	38.11	896.66	33.70	-5.20	38.90	3.80	23.23
PI212240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
