PI_Accession,Latitude,Longitude,Cultivar_Name
Amur,NA,NA,Amur
Greenar,NA,NA,Greenar
Manska,NA,NA,Manska
Nebraska50,NA,NA,Nebraka 50
Oahe,NA,NA,Oahe
PI109219,40.76972222,32.17277778,NA
PI172688,40.14138889,43.11777778,NA
PI172689,39.9375,44.08083333,NA
PI173630,38.97166667,41.54055556,NA
PI204384,38.66055556,39.16777778,NA
PI204385,39.90861111,41.27666667,NA
PI204386,39.91666667,41.3,NA
PI204550,40.45,39.48333333,NA
PI204854,40.96666667,35.66666667,NA
PI206259,39.69333333,34.64472222,NA
PI206618,40.77888889,43.44777778,NA
PI206625,40.67527778,43.16833333,NA
PI208062,40.5,42.75,NA
PI210990,36.62833333,69.76027778,NA
PI210992,34.17694444,61.70055556,NA
PI212240,NA,NA,NA
PI220497,35.92194444,64.77638889,NA
PI220498,34.95138889,62.18638889,NA
PI222961,35.73416667,51.27027778,NA
PI223230,35.84944444,66.84611111,NA
PI223668,38.36666667,47.18333333,NA
PI228274,31.95083333,51.29222222,NA
PI228386,35.24722222,47.02777778,NA
PI229475,38.08333333,47.93333333,NA
PI229576,32.01833333,50.74861111,NA
PI229577,32.01833333,50.74861111,NA
PI229916,35.9475,52.10722222,NA
PI229917,35.9475,52.10722222,NA
PI229918,35.69611111,51.42305556,NA
PI229919,35.9475,52.10722222,NA
PI229921,35.9475,52.10722222,NA
PI229928,35.71833333,52.52722222,NA
PI240129,38.08,46.29166667,NA
PI249145,NA,NA,NA
PI249146,NA,NA,NA
PI253430,45.54666667,13.72916667,NA
PI255150,NA,NA,NA
PI273732,57.18805556,39.41527778,NA
PI273733,51.73027778,36.19388889,NA
PI273737,NA,NA,NA
PI286118,NA,NA,NA
PI297872,NA,NA,NA
PI297876,NA,NA,NA
PI314054,47.59666667,41.04638889,NA
PI314140,NA,NA,NA
PI314189,41.78472222,70.26083333,NA
PI314190,41.78472222,70.26083333,NA
PI314191,41.78472222,70.26083333,NA
PI314192,41.33722222,70.52388889,NA
PI314193,42.33722222,71.52388889,NA
PI314610,NA,NA,NA
PI315065,NA,NA,NA
PI315067,NA,NA,NA
PI315353,NA,NA,NA
PI315354,NA,NA,NA
PI315355,44.66805556,43.52027778,NA
PI316122,NA,NA,NA
